url,risk_score,status,time
chrome://newtab/,14,SAFE,2026-05-14 10:38:35
http://secure-bank-login-update.com/,100,HIGH RISK,2026-05-14 10:38:38
chrome://newtab/,14,SAFE,2026-05-21 00:28:36
chrome://extensions/,47,SUSPICIOUS,2026-05-21 00:28:41
chrome://extensions/?errors=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-21 00:28:45
chrome://extensions/,47,SUSPICIOUS,2026-05-21 00:28:49
chrome://extensions/?id=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-21 00:28:50
chrome://newtab/,14,SAFE,2026-05-21 00:29:02
https://www.google.com/,5,SAFE,2026-05-21 00:29:05
chrome://newtab/,14,SAFE,2026-05-21 00:29:09
http://secure-bank-login-update.com/,100,HIGH RISK,2026-05-21 00:29:24
chrome://extensions/,47,SUSPICIOUS,2026-05-21 00:29:32
chrome://extensions/?errors=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-21 00:29:34
chrome://newtab/,14,SAFE,2026-05-21 00:30:16
https://chatgpt.com/,47,SUSPICIOUS,2026-05-21 00:30:19
https://chatgpt.com/c/6a0e04c5-553c-83a2-ac5a-6bccbafb28b3,99,HIGH RISK,2026-05-21 00:30:23
chrome://newtab/,14,SAFE,2026-05-21 00:31:29
http://127.0.0.1:5000/,60,SUSPICIOUS,2026-05-21 00:31:31
chrome://newtab/,14,SAFE,2026-05-21 00:35:19
http://127.0.0.1:5000/,60,SUSPICIOUS,2026-05-21 00:35:20
chrome://extensions/?id=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-21 00:35:30
chrome://newtab/,14,SAFE,2026-05-21 00:35:37
chrome://newtab/,14,SAFE,2026-05-21 00:35:42
http://secure-bank-login-update.com/,100,HIGH RISK,2026-05-21 00:35:44
chrome://newtab/,14,SAFE,2026-05-21 00:35:54
https://chatgpt.com/,47,SUSPICIOUS,2026-05-21 00:35:55
chrome://extensions/,47,SUSPICIOUS,2026-05-21 00:37:31
chrome://extensions/?errors=mloilabgjghfnhmdcgciiknlkoddkcgl,52,SUSPICIOUS,2026-05-21 00:37:43
https://chatgpt.com/c/6a0e0688-c9c0-83ab-b9e4-9e724b4da7d3,99,HIGH RISK,2026-05-21 00:38:00
https://chatgpt.com/c/6a0e04c5-553c-83a2-ac5a-6bccbafb28b3,99,HIGH RISK,2026-05-21 00:38:16
https://chatgpt.com/c/69a7c4b0-0ce8-83a4-9a28-9e7d7fc36596,99,HIGH RISK,2026-05-21 00:38:21
chrome://newtab/,14,SAFE,2026-05-21 00:39:09
http://127.0.0.1:5000/,60,SUSPICIOUS,2026-05-21 00:39:10
chrome://extensions/,47,SUSPICIOUS,2026-05-21 00:39:43
